basename,light_lighting,light_background,light_exposure,light_color,emotion,eyes_left,eyes_right,headwear,camera,blur,low_resolution,object,filename
bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0010.jpg,1,1,0,0,0,0,0,0,0,0,1,1,/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0010.jpg
bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0004.jpg,1,1,0,0,0,0,0,0,0,0,1,1,/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0004.jpg
bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0002.jpg,1,1,0,0,0,0,0,0,0,0,1,1,/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0002.jpg
bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0034.jpg,0,0,0,0,0,0,0,0,0,6,1,1,/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0034.jpg
bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0024.jpg,0,0,0,0,0,0,0,0,0,6,1,1,/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0024.jpg
bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0011.jpg,0,0,0,0,0,0,0,0,0,6,1,1,/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0011.jpg
baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0042.jpg,2,2,0,0,0,0,0,2,0,5,1,0,/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0042.jpg
baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0032.jpg,1,2,-1,0,-1,0,0,2,0,5,1,1,/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0032.jpg
baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0022.jpg,2,2,0,0,0,-6,-6,2,0,5,1,0,/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0022.jpg
bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0015.jpg,0,0,0,0,-1,0,0,0,0,6,1,1,/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0015.jpg
bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0004.jpg,0,0,0,0,-1,0,0,0,0,6,1,1,/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0004.jpg
bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0003.jpg,0,0,0,0,-1,0,0,0,0,6,1,1,/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0003.jpg
