basename;light_lighting;light_background;light_exposure;light_color;emotion;eyes_left;eyes_right;headwear;camera;blur;low_resolution;object;filename;const_left;const_right
bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0010.jpg;1;1;0;0;0;0;0;0;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0010.jpg;0.21;0.24
bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0004.jpg;1;1;0;0;0;0;0;0;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0004.jpg;0.23;0.26
bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0002.jpg;1;1;0;0;0;0;0;0;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0002.jpg;0.24;0.22
bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0034.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0034.jpg;0.29;0.25
bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0024.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0024.jpg;0.29;0.22
bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0011.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0011.jpg;0.27;0.23
baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0042.jpg;2;2;0;0;0;0;0;2;0;5;1;0;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0042.jpg;0.2;0.25
baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0032.jpg;1;2;-1;0;-1;0;0;2;0;5;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0032.jpg;0.17;0.15
baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0022.jpg;2;2;0;0;0;-6;-6;2;0;5;1;0;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0022.jpg;0.14;0.16
bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0015.jpg;0;0;0;0;-1;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0015.jpg;0.27;0.27
bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0004.jpg;0;0;0;0;-1;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0004.jpg;0.25;0.27
bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0003.jpg;0;0;0;0;-1;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0003.jpg;0.24;0.25
bae1e7c9-430a-4fee-ae22-e51be37429d5.mp4.0036.jpg;1;2;0;0;0;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae1e7c9-430a-4fee-ae22-e51be37429d5.mp4.0036.jpg;0.2;0.18
bae1e7c9-430a-4fee-ae22-e51be37429d5.mp4.0015.jpg;2;1;0;0;0;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae1e7c9-430a-4fee-ae22-e51be37429d5.mp4.0015.jpg;0.24;0.19
bae1e7c9-430a-4fee-ae22-e51be37429d5.mp4.0008.jpg;1;2;0;0;0;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae1e7c9-430a-4fee-ae22-e51be37429d5.mp4.0008.jpg;0.23;0.19
ba5c4696-0eca-4394-b6f6-218788a9e91b.mp4.0010.jpg;1;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba5c4696-0eca-4394-b6f6-218788a9e91b.mp4.0010.jpg;0.23;0.19
ba5c4696-0eca-4394-b6f6-218788a9e91b.mp4.0004.jpg;1;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba5c4696-0eca-4394-b6f6-218788a9e91b.mp4.0004.jpg;0.23;0.21
ba5c4696-0eca-4394-b6f6-218788a9e91b.mp4.0002.jpg;1;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba5c4696-0eca-4394-b6f6-218788a9e91b.mp4.0002.jpg;0.21;0.2
ba3fa1d7-3692-4c71-976a-3aee649accd5.quicktime.0030.jpg;0;0;0;0;0;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba3fa1d7-3692-4c71-976a-3aee649accd5.quicktime.0030.jpg;0.24;0.23
ba3fa1d7-3692-4c71-976a-3aee649accd5.quicktime.0014.jpg;0;0;0;0;4;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba3fa1d7-3692-4c71-976a-3aee649accd5.quicktime.0014.jpg;0.26;0.22
ba3fa1d7-3692-4c71-976a-3aee649accd5.quicktime.0001.jpg;0;0;0;0;4;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba3fa1d7-3692-4c71-976a-3aee649accd5.quicktime.0001.jpg;0.21;0.23
ba0dfeb8-da71-47b2-832b-bc0d69b0a766.mp4.0029.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba0dfeb8-da71-47b2-832b-bc0d69b0a766.mp4.0029.jpg;0.29;0.29
ba0dfeb8-da71-47b2-832b-bc0d69b0a766.mp4.0022.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba0dfeb8-da71-47b2-832b-bc0d69b0a766.mp4.0022.jpg;0.31;0.29
ba0dfeb8-da71-47b2-832b-bc0d69b0a766.mp4.0007.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba0dfeb8-da71-47b2-832b-bc0d69b0a766.mp4.0007.jpg;0.29;0.23
ba007047-4f64-4b4a-bdd1-d70525edd524.mp4.0028.jpg;0;0;0;0;-1;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba007047-4f64-4b4a-bdd1-d70525edd524.mp4.0028.jpg;0.19;0.2
ba007047-4f64-4b4a-bdd1-d70525edd524.mp4.0011.jpg;0;0;0;0;-1;-5;-5;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba007047-4f64-4b4a-bdd1-d70525edd524.mp4.0011.jpg;0.12;0.15
ba007047-4f64-4b4a-bdd1-d70525edd524.mp4.0007.jpg;0;0;0;0;-1;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba007047-4f64-4b4a-bdd1-d70525edd524.mp4.0007.jpg;0.29;0.25
b9aaee6f-1863-4541-9c71-9385c1b9d76b.mp4.0026.jpg;0;0;0;0;0;0;0;2;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b9aaee6f-1863-4541-9c71-9385c1b9d76b.mp4.0026.jpg;0.29;0.28
